questions,sparql,cypher,question type
What is the SNOMED code for the allergy described as {allergy_description}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?code WHERE {{ ?allergy a syn:Allergy ; syn:description '{allergy_description}'^^pl:; syn:code ?code. }},MATCH (a:Allergy {{description: '{allergy_description}'}})RETURN DISTINCT a.code;,WH
When was the allergy {allergy_description} recorded?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?startDate WHERE {{ ?allergy a syn:Allergy ; syn:description '{allergy_description}'^^pl:; syn:startDate ?startDate. }},MATCH (a:Allergy {{description: '{allergy_description}'}})RETURN a.start;,WH
What is the date of the record for the allergy described as {allergy_description}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?startDate WHERE {{ ?allergy a syn:Allergy ; syn:description '{allergy_description}'^^pl:; syn:startDate ?startDate. }},MATCH (a:Allergy {{description: '{allergy_description}'}})RETURN a.start;,WH
On which date was the allergy {allergy_description} recorded?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?startDate WHERE {{ ?allergy a syn:Allergy ; syn:description '{allergy_description}'^^pl:; syn:startDate ?startDate. }},MATCH (a:Allergy {{description: '{allergy_description}'}})RETURN a.start;,WH
When did the allergy described as {allergy_description} stop?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?stopDate WHERE {{ ?allergy a syn:Allergy ; syn:description '{allergy_description}'^^pl:; syn:stopDate ?stopDate. }},MATCH (a:Allergy {{description: '{allergy_description}'}})RETURN a.stop;,WH
What is the type of allergy has the description {allergy_description}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?type WHERE {{ ?allergy a syn:Allergy ; syn:description '{allergy_description}'^^pl:; syn:type ?type.}},MATCH (a:Allergy {{description: '{allergy_description}'}})RETURN DISTINCT a.type;,WH
What kind of allergy is described as {allergy_description}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?type WHERE {{ ?allergy a syn:Allergy ; syn:description '{allergy_description}'^^pl:; syn:type ?type.}},MATCH (a:Allergy {{description: '{allergy_description}'}})RETURN DISTINCT a.type;,WH
In what type of allergy does the description {allergy_description} fall?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?type WHERE {{ ?allergy a syn:Allergy ; syn:description '{allergy_description}'^^pl:; syn:type ?type.}},MATCH (a:Allergy {{description: '{allergy_description}'}})RETURN DISTINCT a.type;,WH
What is the category of the allergy described as {allergy_description}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?category WHERE {{ ?allergy a syn:Allergy ; syn:description '{allergy_description}'^^pl:; syn:category ?category.}}  ,MATCH (a:Allergy {{description: '{allergy_description}'}})RETURN DISTINCT a.code;,WH
What is the classification of {allergy_description}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?category WHERE {{ ?allergy a syn:Allergy ; syn:description '{allergy_description}'^^pl:; syn:category ?category.}} ,MATCH (a:Allergy {{description: '{allergy_description}'}})RETURN DISTINCT a.category;,WH
