questions,sparql,cypher,question type
On which date did the illness associated to the claim ID {claim_id} occur?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?currentIllnessDate WHERE {{ ?claim a syn:Claim;syn:id '{claim_id}'^^uuid:;syn:currentIllnessDate ?currentIllnessDate.}},MATCH (c:Claim {{id: '{claim_id}'}}) RETURN c.currentIllnessDate;,WH
What is the department id of the claim with the ID {claim_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?departmentId WHERE {{ ?claim a syn:Claim;syn:id '{claim_id}'^^uuid:;syn:departmentId ?departmentId.}},MATCH (c:Claim {{id: '{claim_id}'}}) RETURN c.departmentId;,WH
What is the diagnosis of the claim with the ID {claim_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?diagnosis1 ?diagnosis2 ?diagnosis3 ?diagnosis4 WHERE {{ ?claim a syn:Claim;syn:id '{claim_id}'^^uuid:;syn:diagnosis1 ?diagnosis1;syn:diagnosis2 ?diagnosis2;syn:diagnosis3 ?diagnosis3;syn:diagnosis4 ?diagnosis4.}},"MATCH (c:Claim {{id: '{claim_id}'}}) RETURN c.diagnosis1,c.diagnosis2,c.diagnosis3,c.diagnosis4;",WH
When was the service date of the claim with the ID {claim_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?serviceDate WHERE {{ ?claim a syn:Claim;syn:id '{claim_id}'^^uuid:; syn:serviceDate ?serviceDate.}},MATCH (c:Claim {{id: '{claim_id}'}}) RETURN c.serviceDate;,WH
Who is the patient associated with the claim {claim_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  DISTINCT ?first ?last WHERE {{  ?claim a syn:Claim;syn:id '{claim_id}'^^uuid:; syn:patientId ?patientId. ?patient a syn:Patient; syn:id ?patientId; syn:first ?first; syn:last ?last.}},"MATCH (p:Patient)-[:HAS_CLAIM]->(c:Claim {{id: '{claim_id}'}}) RETURN DISTINCT p.firstName,p.lastName;",WH
Which provider is associated with the claim of ID {claim_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  DISTINCT ?name WHERE {{  ?claim a syn:Claim;syn:id '{claim_id}'^^uuid:; syn:providerId ?providerId. ?provider a syn:Provider; syn:id ?providerId; syn:name ?name.}},MATCH (p:Provider)-[:HAS_FILED]->(c:Claim {{id: '{claim_id}'}}) RETURN DISTINCT p.name;,WH
Please provide me the department id of the claim with ID {claim_id}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?departmentId WHERE {{ ?claim a syn:Claim;syn:id '{claim_id}'^^uuid:;syn:departmentId ?departmentId.}},MATCH (c:Claim {{id: '{claim_id}'}}) RETURN c.currentIllnessDate;,nonWH
Please provide me the diagnosis of the claim with ID {claim_id}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?diagnosis1 ?diagnosis2 ?diagnosis3 ?diagnosis4 WHERE {{ ?claim a syn:Claim;syn:id '{claim_id}'^^uuid:;syn:diagnosis1 ?diagnosis1;syn:diagnosis2 ?diagnosis2;syn:diagnosis3 ?diagnosis3;syn:diagnosis4 ?diagnosis4.}},"MATCH (c:Claim {{id: '{claim_id}'}}) RETURN c.diagnosis1,c.diagnosis2,c.diagnosis3,c.diagnosis4;",nonWH
Please provide me the service date of the claim with ID {claim_id}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?serviceDate WHERE {{ ?claim a syn:Claim;syn:id '{claim_id}'^^uuid:; syn:serviceDate ?serviceDate.}},MATCH (c:Claim {{id: '{claim_id}'}}) RETURN c.serviceDate;,nonWH
Please provide me the patients with the claim ID {claim_id}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  DISTINCT ?first ?last WHERE {{  ?claim a syn:Claim;syn:id '{claim_id}'^^uuid:; syn:patientId ?patientId. ?patient a syn:Patient; syn:id ?patientId; syn:first ?first; syn:last ?last.}},"MATCH (p:Patient)-[:HAS_CLAIM]->(c:Claim {{id: '{claim_id}'}}) RETURN DISTINCT p.firstName,p.lastName;",nonWH
