questions,sparql,cypher,question type
What is the amount of the claims transferred with the claim transaction ID {claim_t_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?amount WHERE {{ ?claimtransaction a syn:ClaimTransaction;syn:id '{claim_t_id}'^^uuid:; syn:amount ?amount.}},MATCH (ct:ClaimTransaction {{id: '{claim_t_id}'}}) RETURN ct.amount;,WH
What is the charge ID of the claim transaction {claim_t_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?chargeId WHERE {{ ?claimtransaction a syn:ClaimTransaction;syn:id '{claim_t_id}'^^uuid:; syn:chargeId ?chargeId.}},MATCH (ct:ClaimTransaction {{id: '{claim_t_id}'}}) RETURN ct.chargeId;,WH
What is the claim ID of the claim transaction {claim_t_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?claimId WHERE {{ ?claimtransaction a syn:ClaimTransaction;syn:id '{claim_t_id}'^^uuid:; syn:claimId ?claimId.}},MATCH (ct:ClaimTransaction {{id: '{claim_t_id}'}}) RETURN ct.claimId;,WH
What is the procedure code of the claim transaction {claim_t_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?procedureCode WHERE {{ ?claimtransaction a syn:ClaimTransaction;syn:id '{claim_t_id}'^^uuid:; syn:procedureCode ?procedureCode.}},MATCH (ct:ClaimTransaction {{id: '{claim_t_id}'}}) RETURN ct.procedureCode;,WH
What type of claim transaction is transaction with ID {claim_t_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?type WHERE {{ ?claimtransaction a syn:ClaimTransaction;syn:id '{claim_t_id}'^^uuid:; syn:type ?type.}},MATCH (ct:ClaimTransaction {{id: '{claim_t_id}'}}) RETURN ct.type;,WH
What patients are associated with the claim transaction {claim_t_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?first ?last WHERE {{ ?claimtransaction a syn:ClaimTransaction;syn:id '{claim_t_id}'^^uuid:; syn:patientId ?patientId. ?patient a syn:Patient; syn:id ?patientId; syn:first ?first; syn:last ?last.}},"MATCH (p:Patient)-[:HAS_TRANSACTION]->(ct:ClaimTransaction {{id: '{claim_t_id}'}}) RETURN DISTINCT p.firstName,p.lastName;",WH
What provider is associated with the claim transaction {claim_t_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?name WHERE {{ ?claimtransaction a syn:ClaimTransaction;syn:id '{claim_t_id}'^^uuid:; syn:providerId ?providerId. ?provider a syn:Provider; syn:id ?providerId; syn:name ?name.}},MATCH (p:Provider)-[:HAS_TRANSACTION]->(ct:ClaimTransaction {{id: '{claim_t_id}'}}) RETURN DISTINCT p.name;,WH
Please provide me the amount transacted with the claim transaction ID {claim_t_id}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?amount WHERE {{ ?claimtransaction a syn:ClaimTransaction;syn:id '{claim_t_id}'^^uuid:; syn:amount ?amount.}},MATCH (ct:ClaimTransaction {{id: '{claim_t_id}'}}) RETURN ct.amount;,nonWH
Please provide me the charge ID of the claim transaction {claim_t_id}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?chargeId WHERE {{ ?claimtransaction a syn:ClaimTransaction;syn:id '{claim_t_id}'^^uuid:; syn:chargeId ?chargeId.}},MATCH (ct:ClaimTransaction {{id: '{claim_t_id}'}}) RETURN ct.chargeId;,nonWH
Please provide me the claim ID of the claim transaction {claim_t_id}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?claimId WHERE {{ ?claimtransaction a syn:ClaimTransaction;syn:id '{claim_t_id}'^^uuid:; syn:claimId ?claimId.}},MATCH (ct:ClaimTransaction {{id: '{claim_t_id}'}}) RETURN ct.claimId;,nonWH
