questions,sparql,cypher,question type
What is the description of the condition with code {condition_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?description WHERE {{ ?condition a syn:Condition; syn:code '{condition_code}'^^snomed:; syn:description ?description }},MATCH (c:Condition {{code: '{condition_code}'}}) RETURN DISTINCT c.description;,WH
What is the start date of the condition with code {condition_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT ?start WHERE {{ ?condition a syn:Condition; syn:code '{condition_code}'^^snomed:; syn:startDate ?start }},MATCH (c:Condition {{code: '{condition_code}'}}) RETURN c.start;,WH
What is the stop date of the condition with code {condition_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT ?stop WHERE {{ ?condition a syn:Condition; syn:code '{condition_code}'^^snomed:; syn:endDateTime ?stop }},MATCH (c:Condition {{code: '{condition_code}'}}) RETURN c.stop;,WH
What is the encounter associated with the condition with code {condition_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?description WHERE {{ ?condition a syn:Condition; syn:code '{condition_code}'^^snomed:; syn:encounterId ?encounterid. ?encounter a syn:Encounter; syn:id ?encounterid; syn:description ?description }},MATCH (e:Encounter)-[:HAS_DIAGNOSED]->(c:Condition {{code: '{condition_code}'}}) RETURN DISTINCT e.description;,WH
Who has been treated for the condition with code {condition_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?first ?last WHERE {{ ?condition a syn:Condition; syn:code '{condition_code}'^^snomed:; syn:patientId ?patientId. ?patient a syn:Patient; syn:id ?patientid; syn:first ?first ; syn:last ?last }},"MATCH (p:Patient)-[:HAS_HISTORY_OF]->(c:Condition {{code: '{condition_code}'}}) RETURN DISTINCT p.firstName, p.lastName;",WH
Please provide me the encounters that are related to the condition with code {condition_code}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?description WHERE {{ ?condition a syn:Condition; syn:code '{condition_code}'^^snomed:; syn:encounterId ?encounterid. ?encounter a syn:Encounter; syn:id ?encounterid; syn:description ?description }},MATCH (e:Encounter)-[:HAS_DIAGNOSED]->(c:Condition {{code: '{condition_code}'}}) RETURN DISTINCT e.description;,nonWH
Please provide me the patients with the condition with code {condition_code}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?first ?last WHERE {{ ?condition a syn:Condition; syn:code '{condition_code}'^^snomed:; syn:patientId ?patientId. ?patient a syn:Patient; syn:id ?patientid; syn:first ?first ; syn:last ?last }},"MATCH (p:Patient)-[:HAS_HISTORY_OF]->(c:Condition {{code: '{condition_code}'}}) RETURN DISTINCT p.firstName, p.lastName;",nonWH
What is the start date of the condition {condition_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?start WHERE {{ ?condition a syn:Condition; syn:description '{condition_name}'^^pl:; syn:startDate ?start }},MATCH (c:Condition {{description: '{condition_name}'}}) RETURN c.start;,WH
What is the stop date of the condition {condition_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?stop WHERE {{ ?condition a syn:Condition; syn:description '{condition_name}'^^pl:; syn:endDateTime ?stop }},MATCH (c:Condition {{description: '{condition_name}'}}) RETURN c.stop;,WH
What are the encounters associated with the condition {condition_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?description WHERE {{ ?condition a syn:Condition; syn:description '{condition_name}'^^pl:; syn:encounterId ?encounterid. ?encounter a syn:Encounter; syn:id ?encounterid; syn:description ?description }},MATCH (e:Encounter)-[:HAS_DIAGNOSED]->(c:Condition {{description: '{condition_name}'}}) RETURN DISTINCT e.description;,WH
Who has been treated for the condition {condition_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?first ?last WHERE {{ ?condition a syn:Condition; syn:description '{condition_name}'^^pl:; syn:patientId ?patientId. ?patient a syn:Patient; syn:id ?patientid; syn:first ?first ; syn:last ?last }},"MATCH (p:Patient)-[:HAS_HISTORY_OF]->(c:Condition {{description: '{condition_name}'}}) RETURN DISTINCT p.firstName, p.lastName;",WH
Please provide me the encounters that are related to the condition {condition_name}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?description WHERE {{ ?condition a syn:Condition; syn:description '{condition_name}'^^pl:; syn:encounterId ?encounterid. ?encounter a syn:Encounter; syn:id ?encounterid; syn:description ?description }},MATCH (e:Encounter)-[:HAS_DIAGNOSED]->(c:Condition {{description: '{condition_name}'}}) RETURN DISTINCT e.description;,nonWH
Please provide me the patients with the condition {condition_name}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?first ?last WHERE {{ ?condition a syn:Condition; syn:description '{condition_name}'^^pl:; syn:patientId ?patientId. ?patient a syn:Patient; syn:id ?patientid; syn:first ?first ; syn:last ?last }},"MATCH (p:Patient)-[:HAS_HISTORY_OF]->(c:Condition {{description: '{condition_name}'}}) RETURN DISTINCT p.firstName, p.lastName;",nonWH
