questions,sparql,cypher,question type
What is the description of the device with code {device_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?description WHERE {{ ?device a syn:Device; syn:code '{device_code}'^^snomed:; syn:description ?description. }},MATCH (d:Device {{code: '{device_code}'}}) RETURN DISTINCT d.description;,WH
When was the device with code {device_code} implanted or initially used?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT ?start WHERE {{ ?device a syn:Device; syn:code '{device_code}'^^snomed:; syn:startDateTime ?start. }},MATCH (d:Device {{code: '{device_code}'}}) RETURN d.start;,WH
What is the udi code for the device with code {device_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT ?udi WHERE {{ ?device a syn:Device; syn:code '{device_code}'^^snomed:; syn:udi ?udi. }},MATCH (d:Device {{code: '{device_code}'}}) RETURN d.udi;,WH
What encounter is required during the use of the device with code {device_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?description WHERE {{ ?device a syn:Device; syn:code '{device_code}'^^snomed:; syn:encounterId ?encounterid. ?encounter a syn:Encounter; syn:id ?encounterid; syn:description ?description. }},MATCH (e:Encounter)-[:HAS_ORDERED]->(d:Device {{code: '{device_code}'}}) RETURN DISTINCT e.description;,WH
Who are the patients associated with the device with code {device_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?first ?last WHERE {{ ?device a syn:Device; syn:code '{device_code}'^^snomed:; syn:patientId ?patientid. ?patient a syn:Patient; syn:id ?patientid; syn:first ?first; syn:last ?last. }},"MATCH (p:Patient)-[:IS_MEASURED_BY]->(d:Device {{code: '{device_code}'}}) RETURN p.firstName, p.lastName;",WH
Please provide me the encounters that are related to the device with code {device_code}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?description WHERE {{ ?device a syn:Device; syn:code '{device_code}'^^snomed:; syn:encounterId ?encounterid. ?encounter a syn:Encounter; syn:id ?encounterid; syn:description ?description. }},MATCH (e:Encounter)-[:HAS_ORDERED]->(d:Device {{code: '{device_code}'}}) RETURN DISTINCT e.description;,nonWH
Please provide me the name of the patients related to the device with code {device_code}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?first ?last WHERE {{ ?device a syn:Device; syn:code '{device_code}'^^snomed:; syn:patientId ?patientid. ?patient a syn:Patient; syn:id ?patientid; syn:first ?first; syn:last ?last. }},"MATCH (p:Patient)-[:IS_MEASURED_BY]->(d:Device {{code: '{device_code}'}}) RETURN DISTINCT p.firstName, p.lastName;",nonWH
Please provide me the udi code related to the device with code {device_code}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT ?udi WHERE {{ ?device a syn:Device; syn:code '{device_code}'^^snomed:; syn:udi ?udi. }},MATCH (d:Device {{code: '{device_code}'}}) RETURN d.udi;,nonWH
When was the device {device_name} implanted or initially used?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?start WHERE {{ ?device a syn:Device; syn:description '{device_name}'^^pl:; syn:startDateTime ?start. }},MATCH (d:Device {{description: '{device_name}'}}) RETURN d.start;,WH
What is the udi code for the device {device_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?udi WHERE {{ ?device a syn:Device; syn:description '{device_name}'^^pl:; syn:udi ?udi. }},MATCH (d:Device {{description: '{device_name}'}}) RETURN d.udi;,WH
