questions,sparql,cypher,question type
When was the imaging study with the ID {imaging_studies_id} conducted?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?dateTime WHERE {{ ?imagingstudy a syn:ImagingStudy; syn:id '{imaging_studies_id}'^^uuid:; syn:dateTime ?dateTime. }},MATCH (i:ImagingStudy {{id: '{imaging_studies_id}'}})RETURN i.date;,WH
Who is the patient associated with the imaging study with the ID {imaging_studies_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?first ?last WHERE {{ ?imagingstudy a syn:ImagingStudy; syn:id '{imaging_studies_id}'^^uuid:; syn:patientId ?patientid. ?patient a syn:Patient; syn:id ?patientid; syn:first ?first; syn:last ?last. }},"MATCH (p:Patient)-[:HAS_HISTORY_OF]->(i:ImagingStudy {{id: '{imaging_studies_id}'}}) RETURN p.firstName, p.lastName;",WH
Which patient ID is associated with the imaging study with the ID {imaging_studies_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?patientid WHERE {{ ?imagingstudy a syn:ImagingStudy; syn:id '{imaging_studies_id}'^^uuid:; syn:patientId ?patientid. }},MATCH (i:ImagingStudy {{id: '{imaging_studies_id}'}})RETURN i.patientId;,WH
What is the body site code of the imaging study with the ID {imaging_studies_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?bodySiteCode WHERE {{ ?imagingstudy a syn:ImagingStudy; syn:id '{imaging_studies_id}'^^uuid:; syn:bodySiteCode ?bodySiteCode. }},MATCH (i:ImagingStudy {{id: '{imaging_studies_id}'}})RETURN i.bodySiteCode;,WH
What is the body site code and description of the imaging study with the ID {imaging_studies_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?bodySiteCode ?bodySiteDescription WHERE {{ ?imagingstudy a syn:ImagingStudy; syn:id '{imaging_studies_id}'^^uuid:; syn:bodySiteCode ?bodySiteCode; syn:bodySiteDescription ?bodySiteDescription. }},"MATCH (i:ImagingStudy {{id: '{imaging_studies_id}'}})RETURN i.bodySiteCode,i.bodySiteDescription;",WH
What is the body site description of the imaging study with the ID {imaging_studies_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?bodySiteDescription WHERE {{ ?imagingstudy a syn:ImagingStudy; syn:id '{imaging_studies_id}'^^uuid:; syn:bodySiteDescription ?bodySiteDescription. }},MATCH (i:ImagingStudy {{id: '{imaging_studies_id}'}})RETURN i.bodySiteDescription;,WH
What is the modality code of the imaging study with the ID {imaging_studies_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?modalityCode WHERE {{ ?imagingstudy a syn:ImagingStudy; syn:id '{imaging_studies_id}'^^uuid:; syn:modalityCode ?modalityCode. }},MATCH (i:ImagingStudy {{id: '{imaging_studies_id}'}})RETURN i.modalityCode;,WH
What is the modality code and description of the imaging study with the ID {imaging_studies_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?modalityCode ?modalityDescription WHERE {{ ?imagingstudy a syn:ImagingStudy; syn:id '{imaging_studies_id}'^^uuid:; syn:modalityCode ?modalityCode; syn:modalityDescription ?modalityDescription. }},"MATCH (i:ImagingStudy {{id: '{imaging_studies_id}'}})RETURN i.modalityCode,i.modalityDescription;",WH
What is the modality description of the imaging study with the ID {imaging_studies_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?modalityDescription WHERE {{ ?imagingstudy a syn:ImagingStudy; syn:id '{imaging_studies_id}'^^uuid:; syn:modalityDescription ?modalityDescription. }},MATCH (i:ImagingStudy {{id: '{imaging_studies_id}'}})RETURN i.modalityDescription;,WH
What is the series UID of the imaging study with the ID {imaging_studies_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?seriesUid WHERE {{ ?imagingstudy a syn:ImagingStudy; syn:id '{imaging_studies_id}'^^uuid:; syn:seriesUid ?seriesUid. }},MATCH (i:ImagingStudy {{id: '{imaging_studies_id}'}})RETURN i.seriesUid;,WH
