questions,sparql,cypher,question type
What is the description of the immunization with code {immunization_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX cvx: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#hl7:CVX> SELECT ?description WHERE {{ ?immunization a syn:Immunization; syn:code '{immunization_code}'^^cvx:; syn:description ?description. }} ,MATCH (i:Immunization {{code: '{immunization_code}'}}) RETURN i.description;,WH
What is the date of the immunization with code {immunization_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX cvx: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#hl7:CVX> SELECT ?date WHERE {{ ?immunization a syn:Immunization; syn:code '{immunization_code}'^^cvx:; syn:dateTime ?date. }},MATCH (i:Immunization {{code: '{immunization_code}'}}) RETURN i.date;,WH
What is the base cost of the immunization with code {immunization_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX cvx: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#hl7:CVX> SELECT DISTINCT ?cost WHERE {{ ?immunization a syn:Immunization; syn:code '{immunization_code}'^^cvx:; syn:cost ?cost. }},MATCH (i:Immunization {{code: '{immunization_code}'}}) RETURN DISTINCT i.baseCost;,WH
What is the encounter associated with the immunization with code {immunization_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX cvx: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#hl7:CVX> SELECT DISTINCT ?description WHERE {{ ?immunization a syn:Immunization; syn:code '{immunization_code}'^^cvx:; syn:encounterId ?encounterid. ?encounter a syn:Encounter; syn:id ?encounterid; syn:description ?description. }},MATCH (e:Encounter)-[:HAS_PRESCRIBED]->(i:Immunization {{code: '{immunization_code}'}}) RETURN DISTINCT e.description;,WH
Who has received the immunization with code {immunization_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX cvx: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#hl7:CVX> SELECT DISTINCT ?first ?last WHERE {{ ?immunization a syn:Immunization; syn:code '{immunization_code}'^^cvx:; syn:encounterId ?encounterid. ?patient a syn:Patient; syn:id ?patientid; syn:first ?first ; syn:last ?last .}},"MATCH (p:Patient)-[:HAS_HISTORY_FOR]->(i:Immunization {{code: '{immunization_code}'}}) RETURN DISTINCT p.firstName, p.lastName;",WH
Please provide me the patients who have received the immunization with code {immunization_code}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX cvx: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#hl7:CVX> SELECT DISTINCT ?first ?last WHERE {{ ?immunization a syn:Immunization; syn:code '{immunization_code}'^^cvx:; syn:patientid ?patientid. ?patient a syn:Patient; syn:id ?patientid; syn:first ?first ; syn:last ?last .}},"MATCH (p:Patient)-[:HAS_HISTORY_FOR]->(i:Immunization {{code: '{immunization_code}'}}) RETURN DISTINCT p.firstName, p.lastName;",nonWH
Please provide me the encounters that are related to the immunization with code {immunization_code}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX cvx: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#hl7:CVX> SELECT DISTINCT ?description WHERE {{ ?immunization a syn:Immunization; syn:code '{immunization_code}'^^cvx:; syn:encounterId ?encounterid. ?encounter a syn:Encounter; syn:id ?encounterid; syn:description ?description. }},MATCH (e:Encounter)-[:HAS_PRESCRIBED]->(i:Immunization {{code: '{immunization_code}'}}) RETURN DISTINCT e.description;,nonWH
Please provide me the base cost of the immunization with code {immunization_code}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX cvx: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#hl7:CVX> SELECT DISTINCT ?cost WHERE {{ ?immunization a syn:Immunization; syn:code '{immunization_code}'^^cvx:; syn:cost ?cost. }},MATCH (i:Immunization {{code: '{immunization_code}'}}) RETURN DISTINCT i.baseCost;,nonWH
What is the date of the immunization {immunization_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?date WHERE {{ ?immunization a syn:Immunization; syn:description '{immunization_name}'^^pl:; syn:dateTime ?date. }},MATCH (i:Immunization {{description: '{immunization_name}'}}) RETURN i.date;,WH
What is the cost of the immunization {immunization_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?cost WHERE {{ ?immunization a syn:Immunization; syn:description '{immunization_name}'^^pl:; syn:cost ?cost. }},MATCH (i:Immunization {{description: '{immunization_name}'}}) RETURN DISTINCT i.baseCost;,WH
What is the encounter associated with the immunization {immunization_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?description WHERE {{ ?immunization a syn:Immunization; syn:description '{immunization_name}'^^pl:; syn:encounterId ?encounterid. ?encounter a syn:Encounter; syn:id ?encounterid; syn:description ?description. }},MATCH (e:Encounter)-[:HAS_PRESCRIBED]->(i:Immunization {{description: '{immunization_name}'}}) RETURN DISTINCT e.description;,WH
Who has received the immunization {immunization_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?first ?last WHERE {{ ?immunization a syn:Immunization; syn:description '{immunization_name}'^^pl:; syn:patientid ?patientid. ?patient a syn:Patient; syn:id ?patientid; syn:first ?first ; syn:last ?last .}},"MATCH (p:Patient)-[:HAS_HISTORY_FOR]->(i:Immunization {{description: '{immunization_name}'}}) RETURN DISTINCT p.firstName, p.lastName;",WH
