questions,sparql,cypher,question type
What is the description of the observation with the code {observation_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX loinc: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#loinc:LOINC> SELECT DISTINCT ?description WHERE {{ ?observation a syn:Observation; syn:code '{observation_code}'^^loinc:; syn:description ?description. }},MATCH (o:Observation {{code: '{observation_code}'}}) RETURN o.description;,WH
When was the observation with the code {observation_code} recorded?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX loinc: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#loinc:LOINC> SELECT ?dateTime WHERE {{ ?observation a syn:Observation; syn:code '{observation_code}'^^loinc:; syn:dateTime ?dateTime. }},MATCH (o:Observation {{code: '{observation_code}'}}) RETURN o.date;,WH
What is the type of the observation with the code {observation_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX loinc: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#loinc:LOINC> SELECT DISTINCT ?type WHERE {{ ?observation a syn:Observation; syn:code '{observation_code}'^^loinc:; syn:type ?type. }},MATCH (o:Observation {{code: '{observation_code}'}}) RETURN DISTINCT o.type;,WH
What is the value of the observation with the code {observation_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX loinc: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#loinc:LOINC> SELECT DISTINCT ?value WHERE {{ ?observation a syn:Observation; syn:code '{observation_code}'^^loinc:; syn:value ?value. }},MATCH (o:Observation {{code: '{observation_code}'}}) RETURN DISTINCT o.value;,WH
Which patients have the observation with the code {observation_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX loinc: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#loinc:LOINC> SELECT DISTINCT ?first ?last WHERE {{ ?observation a syn:Observation; syn:code '{observation_code}'^^loinc:; syn:patientId ?patientId. ?patient a syn:Patient; syn:id ?patientid; syn:first ?first ; syn:last ?last. }},"MATCH (p:Patient)-[:HAS_HISTORY_OF]->(o:Observation {{code: '{observation_code}'}}) RETURN DISTINCT p.firstName, p.lastName;",WH
What encounter is associated with the observation with the code {observation_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX loinc: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#loinc:LOINC> SELECT DISTINCT ?description WHERE {{ ?observation a syn:Observation; syn:code '{observation_code}'^^loinc:; syn:encounterId ?encounterid. ?encounter a syn:Encounter; syn:id ?encounterid; syn:description ?description. }},MATCH (e:Encounter)-[:IS_ORDERED_DURING]->(o:Observation {{code: '{observation_code}'}}) RETURN DISTINCT e.description;,WH
Please provide me the type of an observation with the code {observation_code}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX loinc: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#loinc:LOINC> SELECT DISTINCT ?type WHERE {{ ?observation a syn:Observation; syn:code '{observation_code}'^^loinc:; syn:type ?type. }},MATCH (o:Observation {{code: '{observation_code}'}}) RETURN DISTINCT o.type;,nonWH
Can you tell me when the observation with the code {observation_code} was recorded?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX loinc: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#loinc:LOINC> SELECT ?dateTime WHERE {{ ?observation a syn:Observation; syn:code '{observation_code}'^^loinc:; syn:dateTime ?dateTime. }},MATCH (o:Observation {{code: '{observation_code}'}}) RETURN o.date;,nonWH
Please provide me the encounters that are related to the observation with the code {observation_code}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX loinc: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#loinc:LOINC> SELECT DISTINCT ?description WHERE {{ ?observation a syn:Observation; syn:code '{observation_code}'^^loinc:; syn:encounterId ?encounterid. ?encounter a syn:Encounter; syn:id ?encounterid; syn:description ?description. }},MATCH (e:Encounter)-[:IS_ORDERED_DURING]->(o:Observation {{code: '{observation_code}'}}) RETURN DISTINCT e.description;,nonWH
Please provide me the patient with the observation entailing the code {observation_code}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX loinc: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#loinc:LOINC> SELECT DISTINCT ?first ?last WHERE {{ ?observation a syn:Observation; syn:code '{observation_code}'^^loinc:; syn:patientId ?patientId. ?patient a syn:Patient; syn:id ?patientid; syn:first ?first ; syn:last ?last. }},"MATCH (p:Patient)-[:HAS_HISTORY_OF]->(o:Observation {{code: '{observation_code}'}}) RETURN DISTINCT p.firstName, p.lastName;",nonWH
