questions,sparql,cypher,question type
What is the name of the patient with the ID {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT ?first ?last WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:first ?first ; syn:last ?last }},"MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.firstName, p.lastName;",WH
What is the birthdate of the patient with the ID {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?birthdate WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:birthdate ?birthdate }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.birthDate;,WH
What is the first name of the patient with the ID {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?first WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:first ?first }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.firstName;,WH
What is the last name of the patient with the ID {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?last WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:last ?last }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.lastName;,WH
What is the ethnicity of the patient with the ID {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?ethnicity WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:ethnicity ?ethnicity }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.ethnicity;,WH
What is the gender of the patient with the ID {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?gender WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:gender ?gender }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.gender;,WH
What is the birthplace of the patient with the ID {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?birthplace WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:birthplace ?birthplace }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.birthplace;,WH
What is the address of the patient with the ID {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?address WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:address ?address }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.address;,WH
What is the city of residence of the patient with the ID {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?city WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:city ?city }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.city;,WH
What is the state of residence of the patient with the ID {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?state WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:state ?state }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.state;,WH
What is the county of residence of the patient with the ID {patient_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?county WHERE {{ ?patient a syn:Patient ; syn:id '{patient_id}'^^uuid:; syn:county ?county }},MATCH (p:Patient {{id: '{patient_id}'}}) RETURN p.county;,WH
