questions,sparql,cypher,question type
What is the name of the payer with the ID {payer_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?name WHERE {{ ?payer a syn:Payer; syn:id '{payer_id}'^^uuid:; syn:name ?name. }},MATCH (p:Payer {{id: '{payer_id}'}}) RETURN p.name;,WH
How many unique customers does the payer with ID {payer_id} have?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?uniqueCustomers WHERE {{ ?payer a syn:Payer; syn:id '{payer_id}'^^uuid:; syn:uniqueCustomers ?uniqueCustomers. }},MATCH (p:Payer {{id: '{payer_id}'}}) RETURN p.unique_customers;,WH
How much revenue does the payer with ID {payer_id} generate?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?revenue WHERE {{ ?payer a syn:Payer; syn:id '{payer_id}'^^uuid:; syn:revenue ?revenue. }},MATCH (p:Payer {{id: '{payer_id}'}}) RETURN p.revenue;,WH
How many encounters are covered by the payer with the ID {payer_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?coveredEncounters WHERE {{ ?payer a syn:Payer; syn:id '{payer_id}'^^uuid:; syn:coveredEncounters ?coveredEncounters. }},MATCH (p:Payer {{id: '{payer_id}'}}) RETURN p.covered_encounters;,WH
How many encounters are uncovered by the payer with the ID {payer_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?uncoveredEncounters WHERE {{ ?payer a syn:Payer; syn:id '{payer_id}'^^uuid:; syn:uncoveredEncounters ?uncoveredEncounters. }},MATCH (p:Payer {{id: '{payer_id}'}}) RETURN p.uncovered_encounters;,WH
How many medications are covered by the payer with the ID {payer_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?coveredMedications WHERE {{ ?payer a syn:Payer; syn:id '{payer_id}'^^uuid:; syn:coveredMedications ?coveredMedications. }},MATCH (p:Payer {{id: '{payer_id}'}}) RETURN p.covered_medications;,WH
How many medications are uncovered by the payer with the ID {payer_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?uncoveredMedications WHERE {{ ?payer a syn:Payer; syn:id '{payer_id}'^^uuid:; syn:uncoveredMedications ?uncoveredMedications. }},MATCH (p:Payer {{id: '{payer_id}'}}) RETURN p.uncovered_medications;,WH
How many procedures are covered by the payer with the ID {payer_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?coveredProcedures WHERE {{ ?payer a syn:Payer; syn:id '{payer_id}'^^uuid:; syn:coveredProcedures ?coveredProcedures. }},MATCH (p:Payer {{id: '{payer_id}'}}) RETURN p.covered_procedures;,WH
How many procedures are uncovered by the payer with the ID {payer_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?uncoveredProcedures WHERE {{ ?payer a syn:Payer; syn:id '{payer_id}'^^uuid:; syn:uncoveredProcedures ?uncoveredProcedures. }},MATCH (p:Payer {{id: '{payer_id}'}}) RETURN p.uncovered_procedures;,WH
How many immunizations are covered by the payer with the ID {payer_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?coveredImmunizations WHERE {{ ?payer a syn:Payer; syn:id '{payer_id}'^^uuid:; syn:coveredImmunizations ?coveredImmunizations. }},MATCH (p:Payer {{id: '{payer_id}'}}) RETURN p.covered_immunizations;,WH
