questions,sparql,cypher,question type
What is the description of the procedure with the code {procedure_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?description WHERE {{ ?procedure a syn:Procedure; syn:code '{procedure_code}'^^snomed:; syn:description ?description. }} ,MATCH (p:Procedure {{code: '{procedure_code}'}}) RETURN DISTINCT p.description;,WH
What is the start date of the procedure with the code {procedure_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT ?start WHERE {{ ?procedure a syn:Procedure; syn:code '{procedure_code}'^^snomed:; syn:startDateTime ?start. }},MATCH (p:Procedure {{code: '{procedure_code}'}}) RETURN p.start;,WH
What is the stop date of the procedure with the code {procedure_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT ?stop WHERE {{ ?procedure a syn:Procedure; syn:code '{procedure_code}'^^snomed:; syn:endDateTime ?stop. }},MATCH (p:Procedure {{code: '{procedure_code}'}}) RETURN p.stop;,WH
What is the reason for performing the procedure with the code {procedure_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?reasondescription WHERE {{ ?procedure a syn:Procedure; syn:code '{procedure_code}'^^snomed:; syn:reasondescription ?reasondescription. }},MATCH (p:Procedure {{code: '{procedure_code}'}}) RETURN DISTINCT p.reasondescription;,WH
In which encounter was a procedure with code {procedure_code} performed?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?description WHERE {{ ?procedure a syn:Procedure; syn:code '{procedure_code}'^^snomed:; syn:encounterId ?encounterId. ?encounter a syn:Encounter; syn:id ?encounterId; syn:description ?description }},MATCH (e:Encounter)-[:IS_ORDERED_DURING]->(p:Procedure {{code: '{procedure_code}'}}) RETURN DISTINCT e.description;,WH
What is the reason code for the procedure of code {procedure_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT ?reasondescription WHERE {{ ?procedure a syn:Procedure; syn:code '{procedure_code}'^^snomed:; syn:reasoncode ?reasondescription. }},MATCH (p:Procedure {{code: '{procedure_code}'}}) RETURN p.reasoncode;,WH
Who has been treated with the procedure of code {procedure_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?first ?last WHERE {{ ?procedure a syn:Procedure; syn:code '{procedure_code}'^^snomed:; syn:patientId ?patientId. ?patient a syn:Patient; syn:id ?patientid; syn:first ?first ; syn:last ?last .}},"MATCH (p:Patient)-[:HAS_HISTORY_OF]->(pr:Procedure {{code: '{procedure_code}'}}) RETURN DISTINCT p.firstName, p.lastName;",WH
Please provide me the patients treated with the procedure of code {procedure_code}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?first ?last WHERE {{ ?procedure a syn:Procedure; syn:code '{procedure_code}'^^snomed:; syn:patientId ?patientId. ?patient a syn:Patient; syn:id ?patientid; syn:first ?first ; syn:last ?last .}},"MATCH (p:Patient)-[:HAS_HISTORY_OF]->(pr:Procedure {{code: '{procedure_code}'}}) RETURN DISTINCT p.firstName, p.lastName;",nonWH
Please provide me the encounters that were related to the procedure with code {procedure_code}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?description WHERE {{ ?procedure a syn:Procedure; syn:code '{procedure_code}'^^snomed:; syn:encounterId ?encounterId. ?encounter a syn:Encounter; syn:id ?encounterId; syn:description ?description }},MATCH (e:Encounter)-[:IS_ORDERED_DURING]->(p:Procedure {{code: '{procedure_code}'}}) RETURN DISTINCT e.description;,nonWH
Please provide me the reason for performing the procedure with code {procedure_code}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT ?reasondescription WHERE {{ ?procedure a syn:Procedure; syn:code '{procedure_code}'^^snomed:; syn:reasondescription ?reasondescription. }},MATCH (p:Procedure {{code: '{procedure_code}'}}) RETURN p.reasondescription;,nonWH
