questions,sparql,cypher,question type
What is the name of the provider with the ID {provider_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?name WHERE {{ ?provider a syn:Provider; syn:id '{provider_id}'^^uuid:; syn:name ?name. }},MATCH (p:Provider {{id: '{provider_id}'}}) RETURN p.name;,WH
What is the address of the provider with the ID {provider_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?address WHERE {{ ?provider a syn:Provider; syn:id '{provider_id}'^^uuid:; syn:address ?address. }},MATCH (p:Provider {{id: '{provider_id}'}}) RETURN p.adress;,WH
What is the gender of the provider with the ID {provider_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?gender WHERE {{ ?provider a syn:Provider; syn:id '{provider_id}'^^uuid:; syn:gender ?gender. }},MATCH (p:Provider {{id: '{provider_id}'}}) RETURN p.gender;,WH
What city is the provider with the ID {provider_id} located in?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?city WHERE {{ ?provider a syn:Provider; syn:id '{provider_id}'^^uuid:; syn:city ?city. }},MATCH (p:Provider {{id: '{provider_id}'}}) RETURN p.city;,WH
What is the specialty of the provider with the ID {provider_id}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?speciality WHERE {{ ?provider a syn:Provider; syn:id '{provider_id}'^^uuid:; syn:speciality ?speciality. }},MATCH (p:Provider {{id: '{provider_id}'}}) RETURN p.speciality;,WH
Which organization is the provider with the ID {provider_id} affiliated with?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?name WHERE {{ ?provider a syn:Provider; syn:id '{provider_id}'^^uuid:; syn:organizationId ?organizationId. ?organization a syn:Organization; syn:id ?organization_id; syn:name ?name. }},MATCH (o:Organization)-[:IS_PERFORMED_AT]->(p:Provider {{id: '{provider_id}'}}) RETURN o.name;,WH
Please provide me the organization affiliated with the provider with the ID {provider_id}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?name WHERE {{ ?provider a syn:Provider; syn:id '{provider_id}'^^uuid:; syn:organizationId ?organizationId. ?organization a syn:Organization; syn:id ?organization_id; syn:name ?name. }},MATCH (o:Organization)-[:IS_PERFORMED_AT]->(p:Provider {{id: '{provider_id}'}}) RETURN o.name;,nonWH
Please provide me the speciality of the provider with the ID {provider_id}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?speciality WHERE {{ ?provider a syn:Provider; syn:id '{provider_id}'^^uuid:; syn:speciality ?speciality. }},MATCH (p:Provider {{id: '{provider_id}'}}) RETURN p.speciality;,nonWH
Please provide me the speciality of the provider with the ID {provider_id}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX uuid: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#urn:uuid> SELECT  ?address WHERE {{ ?provider a syn:Provider; syn:id '{provider_id}'^^uuid:; syn:address ?address. }},MATCH (p:Provider {{id: '{provider_id}'}}) RETURN p.adress;,nonWH
What is the address of the provider named {provider_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?address WHERE {{ ?provider a syn:Provider; syn:name '{provider_name}'^^pl:; syn:address ?address. }},MATCH (p:Provider {{name: '{provider_name}'}}) RETURN p.adress;,WH
