questions,sparql,cypher,question type
What is the name of the supply with the code {supply_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?description WHERE {{ ?supply a syn:Supply; syn:code '{supply_code}'^^snomed:; syn:description ?description. }} ,MATCH (s:Supply {{code: '{supply_code}'}}) RETURN DISTINCT s.description;,WH
What is the quality of the supply with the code {supply_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?quantity WHERE {{ ?supply a syn:Supply; syn:code '{supply_code}'^^snomed:; syn:quantity ?quantity.}},MATCH (s:Supply {{code: '{supply_code}'}}) RETURN DISTINCT s.quantity;,WH
Who is the patient associated with the supply with the code {supply_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?first ?last WHERE {{ ?supply a syn:Supply; syn:code '{supply_code}'^^snomed:; syn:patientId ?patientId. ?patient a syn:Patient; syn:id ?patientId; syn:first ?first; syn:last ?last. }},"MATCH (p:Patient)-[:IS_ORDERED_FOR]->(s:Supply {{code: '{supply_code}'}}) RETURN DISTINCT p.firstName, p.lastName;",WH
What encounter is associated with the supply with the code {supply_code}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?description WHERE {{ ?supply a syn:Supply; syn:code '{supply_code}'^^snomed:; syn:encounterId ?encounterid. ?encounter a syn:Encounter; syn:id ?encounterid; syn:description ?description. }},MATCH (e:Encounter)-[:HAS_ORDERED]->(s:Supply {{code: '{supply_code}'}}) RETURN DISTINCT e.description;,WH
Please provide me the quality for the supply with the code {supply_code}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?quantity WHERE {{ ?supply a syn:Supply; syn:code '{supply_code}'^^snomed:; syn:quantity ?quantity.}},MATCH (s:Supply {{code: '{supply_code}'}}) RETURN DISTINCT s.quantity;,nonWH
Please provide me the patient with the supply with the code {supply_code}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?first ?last WHERE {{ ?supply a syn:Supply; syn:code '{supply_code}'^^snomed:; syn:patientId ?patientId. ?patient a syn:Patient; syn:id ?patientId; syn:first ?first; syn:last ?last. }},"MATCH (p:Patient)-[:IS_ORDERED_FOR]->(s:Supply {{code: '{supply_code}'}}) RETURN DISTINCT p.firstName, p.lastName;",nonWH
Please provide me the encounters that were related to the supply with the code {supply_code}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX snomed: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#snomed:SNOMED-CT> SELECT DISTINCT ?description WHERE {{ ?supply a syn:Supply; syn:code '{supply_code}'^^snomed:; syn:encounterId ?encounterid. ?encounter a syn:Encounter; syn:id ?encounterid; syn:description ?description. }},MATCH (e:Encounter)-[:HAS_ORDERED]->(s:Supply {{code: '{supply_code}'}}) RETURN DISTINCT e.description;,nonWH
What is the quality of the supply named {supply_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?quantity WHERE {{ ?supply a syn:Supply; syn:description '{supply_name}'^^pl:; syn:quantity ?quantity.}},MATCH (s:Supply {{description: '{supply_name}'}}) RETURN DISTINCT s.quantity;,WH
When was the supply {supply_name} recorded?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT ?date WHERE {{ ?supply a syn:Supply; syn:description '{supply_name}'^^pl:; syn:date ?date.}},MATCH (s:Supply {{description: '{supply_name}'}}) RETURN s.date;,WH
What is the code of the supply named {supply_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?code WHERE {{ ?supply a syn:Supply; syn:description '{supply_name}'^^pl:; syn:code ?code.}},MATCH (s:Supply {{description: '{supply_name}'}}) RETURN DISTINCT s.code;,WH
Who is the patient associated with the supply named {supply_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?first ?last WHERE {{ ?supply a syn:Supply; syn:description '{supply_name}'^^pl:; syn:patientId ?patientId. ?Patient a syn:Patient; syn:id ?patientId; syn:first ?first; syn:last ?last. }},"MATCH (p:Patient)-[:IS_ORDERED_FOR]->(s:Supply {{description: '{supply_name}'}}) RETURN DISTINCT p.firstName, p.lastName;",WH
What encounter is associated with the supply named {supply_name}?,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?description WHERE {{ ?supply a syn:Supply; syn:description '{supply_name}'^^pl:; syn:encounterId ?encounterid. ?encounter a syn:Encounter; syn:id ?encounterid; syn:description ?description. }},MATCH (e:Encounter)-[:HAS_ORDERED]->(s:Supply {{description: '{supply_name}'}}) RETURN DISTINCT e.description;,WH
Please provide me the quantity of the supply named {supply_name}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?quantity WHERE {{ ?supply a syn:Supply; syn:description '{supply_name}'^^pl:; syn:quantity ?quantity.}},MATCH (s:Supply {{description: '{supply_name}'}}) RETURN DISTINCT s.quantity;,nonWH
Please provide me the patients associated with the supply named {supply_name}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?first ?last WHERE {{ ?supply a syn:Supply; syn:description '{supply_name}'^^pl:; syn:patientId ?patientId. ?Patient a syn:Patient; syn:id ?patientId; syn:first ?first; syn:last ?last. }},"MATCH (p:Patient)-[:IS_ORDERED_FOR]->(s:Supply {{description: '{supply_name}'}}) RETURN DISTINCT p.firstName, p.lastName;",nonWH
Please provide me the encounters that were related to the supply named {supply_name}.,PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> PREFIX syn: <https://knacc.umbc.edu/dae-young/kim/ontologies/synthea#> PREFIX xsd: <http://www.w3.org/2001/XMLSchema#> PREFIX pl: <http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral> SELECT DISTINCT ?description WHERE {{ ?supply a syn:Supply; syn:description '{supply_name}'^^pl:; syn:encounterId ?encounterid. ?encounter a syn:Encounter; syn:id ?encounterid; syn:description ?description. }},MATCH (e:Encounter)-[:HAS_ORDERED]->(s:Supply {{description: '{supply_name}'}}) RETURN DISTINCT e.description;,nonWH
